feature,vif
composite_risk_index,31.408192244230502
planning_maturity_score,25.68171977271582
scale_x_planning_maturity,22.296133675013067
complexity_x_uncertainty,11.845174016912111
technical_uncertainty,11.183706479755765
log_planned_duration,11.034349073209375
planned_duration,10.16699922012137
log_planned_budget,9.211195222436961
scope_x_technical_uncertainty,8.814273258728626
stakeholder_x_governance,8.681006106957502
financial_uncertainty,8.048270452427017
environmental_uncertainty,7.356132210783726
project_scale_tier_small,6.449058669396507
stakeholder_multiplicity_index,6.047067254460004
planned_budget,5.458852305740838
scope_variability_index,4.478550194699209
project_scale_tier_medium,3.4370833983234563
project_complexity_tier_moderate,3.070238289052823
project_complexity_tier_low,2.9742684965697364
contract_type_fixed_price,2.670602880981864
contract_type_target_cost,1.9308397759314762
contract_type_hybrid_other,1.3858895490088234
contingency_buffer_ratio,1.0152196882603695
supplier_dependency_index,1.0111482464132178
team_experience_score,1.0086503406792426
regulatory_complexity_score,1.0076330338166917
